,b_logistic_f1,b_logistic_precision,b_logistic_recall,b_multi_f1,b_multi_precision,b_multi_recall,f_logistic_f1,f_logistic_precision,f_logistic_recall,f_multi_f1,f_multi_precision,f_multi_recall,n_logistic_f1,n_logistic_precision,n_logistic_recall,n_multi_f1,n_multi_precision,n_multi_recall
0,0.686427457,0.71197411,0.662650602,0.749347258,0.661290323,0.864457831,0.701421801,0.737541528,0.668674699,0.754966887,0.673758865,0.858433735,0.698113208,0.730263158,0.668674699,0.737588652,0.697050938,0.78313253
1,0.667757774,0.673267327,0.662337662,0.710204082,0.611241218,0.847402597,0.66446281,0.676767677,0.652597403,0.715646259,0.615925059,0.853896104,0.660958904,0.699275362,0.626623377,0.690042076,0.607407407,0.798701299
2,0.680061824,0.681114551,0.679012346,0.755263158,0.658256881,0.885802469,0.681458003,0.700325733,0.663580247,0.755263158,0.658256881,0.885802469,0.664495114,0.703448276,0.62962963,0.734104046,0.690217391,0.783950617
3,0.685897436,0.725423729,0.650455927,0.731707317,0.660146699,0.820668693,0.704545455,0.756097561,0.659574468,0.729986431,0.659313725,0.817629179,0.679054054,0.764258555,0.610942249,0.71942446,0.683060109,0.759878419
4,0.665557404,0.677966102,0.653594771,0.717948718,0.636363636,0.823529412,0.648370497,0.682310469,0.617647059,0.718972896,0.637974684,0.823529412,0.65060241,0.687272727,0.617647059,0.683834049,0.608142494,0.781045752
5,0.682706767,0.711598746,0.656069364,0.748419722,0.665168539,0.855491329,0.691957511,0.728434505,0.658959538,0.737789203,0.664351852,0.829479769,0.70694864,0.740506329,0.676300578,0.724279835,0.689295039,0.76300578
6,0.688741722,0.702702703,0.675324675,0.707940781,0.604597701,0.853896104,0.692307692,0.683544304,0.701298701,0.706040268,0.601830664,0.853896104,0.677740864,0.693877551,0.662337662,0.67862069,0.589928058,0.798701299
7,0.66031746,0.697986577,0.626506024,0.74015748,0.655813953,0.84939759,0.669781931,0.693548387,0.647590361,0.725361367,0.643356643,0.831325301,0.666666667,0.737226277,0.608433735,0.718168813,0.683923706,0.756024096
8,0.653465347,0.685121107,0.624605678,0.738666667,0.639722864,0.873817035,0.653399668,0.688811189,0.621451104,0.729693742,0.631336406,0.864353312,0.628951747,0.665492958,0.596214511,0.709318498,0.634328358,0.804416404
9,0.670988655,0.701694915,0.642857143,0.752,0.658878505,0.875776398,0.686998395,0.710963455,0.664596273,0.749003984,0.654292343,0.875776398,0.674418605,0.725,0.630434783,0.734104046,0.686486486,0.788819876
,0.674192185,0.696884987,0.653341419,0.735165518,0.645148032,0.855023946,0.679470376,0.705834481,0.655596985,0.73227242,0.644039712,0.849412178,0.670795021,0.714662119,0.632723828,0.712948517,0.656983999,0.781767607
