,basic_f1,basic_precision,basic_recall,filtered_f1,filtered_precision,filtered_recall,noun_f1,noun_precision,noun_recall
0,0.726810673,0.628571429,0.861445783,0.726810673,0.628571429,0.861445783,0.726810673,0.628571429,0.861445783
1,0.69986541,0.597701149,0.844155844,0.69986541,0.597701149,0.844155844,0.69986541,0.597701149,0.844155844
2,0.741976893,0.635164835,0.891975309,0.741976893,0.635164835,0.891975309,0.741976893,0.635164835,0.891975309
3,0.714848883,0.62962963,0.82674772,0.714848883,0.62962963,0.82674772,0.714848883,0.62962963,0.82674772
4,0.692198582,0.611528822,0.797385621,0.692198582,0.611528822,0.797385621,0.692198582,0.611528822,0.797385621
5,0.729763387,0.641137856,0.846820809,0.729763387,0.641137856,0.846820809,0.729763387,0.641137856,0.846820809
6,0.689564069,0.581291759,0.847402597,0.689564069,0.581291759,0.847402597,0.689564069,0.581291759,0.847402597
7,0.709256845,0.625287356,0.819277108,0.709256845,0.625287356,0.819277108,0.709256845,0.625287356,0.819277108
8,0.723404255,0.625287356,0.858044164,0.723404255,0.625287356,0.858044164,0.723404255,0.625287356,0.858044164
9,0.736164736,0.628571429,0.888198758,0.736164736,0.628571429,0.888198758,0.736164736,0.628571429,0.888198758
,0.716624498,0.620417162,0.848145371,0.716624498,0.620417162,0.848145371,0.716624498,0.620417162,0.848145371
